generated_idx,generated_path,nn_train_idx,nn_train_path,chamfer_min
0,/data/Data/bjorn/vq_samples/meshes/0000.stl,4883,/data/Data/3d_meshes/CGPS-1_4406_SERIES0010_labels.stl,4.0325313
1,/data/Data/bjorn/vq_samples/meshes/0001.stl,4062,/data/Data/3d_meshes/CGPS-1_11392_SERIES0021_labels.stl,4.0725484
2,/data/Data/bjorn/vq_samples/meshes/0002.stl,985,/data/Data/3d_meshes/CGPS-1_9985_SERIES0023_labels.stl,3.3200283
3,/data/Data/bjorn/vq_samples/meshes/0003.stl,770,/data/Data/3d_meshes/CGPS-1_12804_SERIES0020_labels.stl,3.6797934
4,/data/Data/bjorn/vq_samples/meshes/0004.stl,1293,/data/Data/3d_meshes/CGPS-1_3215_SERIES0007_labels.stl,3.3382611
5,/data/Data/bjorn/vq_samples/meshes/0005.stl,837,/data/Data/3d_meshes/CGPS-1_11273_SERIES0018_labels.stl,4.8243194
6,/data/Data/bjorn/vq_samples/meshes/0006.stl,3582,/data/Data/3d_meshes/CGPS-1_10232_SERIES0015_labels.stl,4.098489
7,/data/Data/bjorn/vq_samples/meshes/0007.stl,899,/data/Data/3d_meshes/CGPS-1_0541_SERIES0005_labels.stl,5.0463867
8,/data/Data/bjorn/vq_samples/meshes/0008.stl,1100,/data/Data/3d_meshes/CGPS-1_5581_SERIES0009_labels.stl,3.49802
9,/data/Data/bjorn/vq_samples/meshes/0009.stl,2816,/data/Data/3d_meshes/CGPS-1_8021_SERIES0016_labels.stl,5.4460964
10,/data/Data/bjorn/vq_samples/meshes/0010.stl,1770,/data/Data/3d_meshes/CGPS-1_11076_SERIES0019_labels.stl,5.083726
11,/data/Data/bjorn/vq_samples/meshes/0011.stl,948,/data/Data/3d_meshes/CGPS-1_8828_SERIES0016_labels.stl,4.0594144
12,/data/Data/bjorn/vq_samples/meshes/0012.stl,1490,/data/Data/3d_meshes/CGPS-1_2191_SERIES0006_labels.stl,3.835864
13,/data/Data/bjorn/vq_samples/meshes/0013.stl,2314,/data/Data/3d_meshes/CGPS-1_9304_SERIES0016_labels.stl,3.5589938
14,/data/Data/bjorn/vq_samples/meshes/0014.stl,1453,/data/Data/3d_meshes/CGPS-1_11111_SERIES0019_labels.stl,5.256471
15,/data/Data/bjorn/vq_samples/meshes/0015.stl,216,/data/Data/3d_meshes/CGPS-1_12100_SERIES0021_labels.stl,3.3700078
16,/data/Data/bjorn/vq_samples/meshes/0016.stl,1145,/data/Data/3d_meshes/CGPS-1_8547_SERIES0016_labels.stl,4.475116
17,/data/Data/bjorn/vq_samples/meshes/0017.stl,686,/data/Data/3d_meshes/CGPS-1_8817_SERIES0016_labels.stl,4.2757587
18,/data/Data/bjorn/vq_samples/meshes/0018.stl,3986,/data/Data/3d_meshes/CGPS-1_12158_SERIES0010_labels.stl,5.7584605
19,/data/Data/bjorn/vq_samples/meshes/0019.stl,4854,/data/Data/3d_meshes/CGPS-1_6068_SERIES0008_labels.stl,4.975219
20,/data/Data/bjorn/vq_samples/meshes/0020.stl,2142,/data/Data/3d_meshes/CGPS-1_12872_SERIES0018_labels.stl,3.1508145
21,/data/Data/bjorn/vq_samples/meshes/0021.stl,505,/data/Data/3d_meshes/CGPS-1_10593_SERIES0016_labels.stl,4.8217783
22,/data/Data/bjorn/vq_samples/meshes/0022.stl,298,/data/Data/3d_meshes/CGPS-1_5967_SERIES0000_labels.stl,3.6157994
23,/data/Data/bjorn/vq_samples/meshes/0023.stl,1042,/data/Data/3d_meshes/CGPS-1_8230_SERIES0016_labels.stl,4.767124
24,/data/Data/bjorn/vq_samples/meshes/0024.stl,5170,/data/Data/3d_meshes/CGPS-1_8947_SERIES0016_labels.stl,3.478824
25,/data/Data/bjorn/vq_samples/meshes/0025.stl,390,/data/Data/3d_meshes/CGPS-1_11966_SERIES0009_labels.stl,4.7567654
26,/data/Data/bjorn/vq_samples/meshes/0026.stl,1768,/data/Data/3d_meshes/CGPS-1_10125_SERIES0016_labels.stl,3.8761985
27,/data/Data/bjorn/vq_samples/meshes/0027.stl,4686,/data/Data/3d_meshes/CGPS-1_11705_SERIES0009_labels.stl,4.584603
28,/data/Data/bjorn/vq_samples/meshes/0028.stl,3571,/data/Data/3d_meshes/CGPS-1_6131_SERIES0008_labels.stl,4.4577675
29,/data/Data/bjorn/vq_samples/meshes/0029.stl,1689,/data/Data/3d_meshes/CGPS-1_6022_SERIES0000_labels.stl,5.105888
30,/data/Data/bjorn/vq_samples/meshes/0030.stl,4070,/data/Data/3d_meshes/CGPS-1_10749_SERIES0016_labels.stl,3.0520835
31,/data/Data/bjorn/vq_samples/meshes/0031.stl,3832,/data/Data/3d_meshes/CGPS-1_6835_SERIES0016_labels.stl,3.920416
32,/data/Data/bjorn/vq_samples/meshes/0032.stl,4359,/data/Data/3d_meshes/CGPS-1_8614_SERIES0008_labels.stl,5.968637
33,/data/Data/bjorn/vq_samples/meshes/0033.stl,3895,/data/Data/3d_meshes/CGPS-1_5380_SERIES0010_labels.stl,3.575154
34,/data/Data/bjorn/vq_samples/meshes/0034.stl,323,/data/Data/3d_meshes/CGPS-1_11897_SERIES0009_labels.stl,5.306617
35,/data/Data/bjorn/vq_samples/meshes/0035.stl,2181,/data/Data/3d_meshes/CGPS-1_9041_SERIES0016_labels.stl,6.270758
36,/data/Data/bjorn/vq_samples/meshes/0036.stl,1530,/data/Data/3d_meshes/CGPS-1_12616_SERIES0021_labels.stl,4.4358425
37,/data/Data/bjorn/vq_samples/meshes/0037.stl,1915,/data/Data/3d_meshes/CGPS-1_9586_SERIES0016_labels.stl,4.206414
38,/data/Data/bjorn/vq_samples/meshes/0038.stl,171,/data/Data/3d_meshes/CGPS-1_7684_SERIES0012_labels.stl,3.9214797
39,/data/Data/bjorn/vq_samples/meshes/0039.stl,807,/data/Data/3d_meshes/CGPS-1_3315_SERIES0009_labels.stl,3.66978
40,/data/Data/bjorn/vq_samples/meshes/0040.stl,1506,/data/Data/3d_meshes/CGPS-1_4980_SERIES0011_labels.stl,3.5711904
41,/data/Data/bjorn/vq_samples/meshes/0041.stl,2217,/data/Data/3d_meshes/CGPS-1_0334_SERIES0006_labels.stl,4.05236
42,/data/Data/bjorn/vq_samples/meshes/0042.stl,2129,/data/Data/3d_meshes/CGPS-1_9183_SERIES0016_labels.stl,3.9707763
43,/data/Data/bjorn/vq_samples/meshes/0043.stl,405,/data/Data/3d_meshes/CGPS-1_9021_SERIES0016_labels.stl,3.3215306
44,/data/Data/bjorn/vq_samples/meshes/0044.stl,813,/data/Data/3d_meshes/CGPS-1_2579_SERIES0008_labels.stl,3.8145552
