train_idx,train_path,nn_generated_idx,nn_generated_path,chamfer_min
0,/data/Data/3d_meshes/CGPS-1_8341_SERIES0016_labels.stl,271,/data/Data/bjorn/vq_samples/meshes/0271.stl,4.5949817
1,/data/Data/3d_meshes/CGPS-1_12465_SERIES0005_labels.stl,672,/data/Data/bjorn/vq_samples/meshes/0672.stl,4.208035
2,/data/Data/3d_meshes/CGPS-1_0069_SERIES0000_labels.stl,134,/data/Data/bjorn/vq_samples/meshes/0134.stl,3.6100488
3,/data/Data/3d_meshes/CGPS-1_12233_SERIES0014_labels.stl,975,/data/Data/bjorn/vq_samples/meshes/0975.stl,5.049162
4,/data/Data/3d_meshes/CGPS-1_10583_SERIES0016_labels.stl,440,/data/Data/bjorn/vq_samples/meshes/0440.stl,7.1821456
5,/data/Data/3d_meshes/CGPS-1_1407_SERIES0028_labels.stl,394,/data/Data/bjorn/vq_samples/meshes/0394.stl,4.3559637
6,/data/Data/3d_meshes/CGPS-1_11628_SERIES0021_labels.stl,368,/data/Data/bjorn/vq_samples/meshes/0368.stl,4.311421
7,/data/Data/3d_meshes/CGPS-1_7848_SERIES0016_labels.stl,190,/data/Data/bjorn/vq_samples/meshes/0190.stl,6.1829033
8,/data/Data/3d_meshes/CGPS-1_7229_SERIES0016_labels.stl,645,/data/Data/bjorn/vq_samples/meshes/0645.stl,4.193337
9,/data/Data/3d_meshes/CGPS-1_9209_SERIES0016_labels.stl,173,/data/Data/bjorn/vq_samples/meshes/0173.stl,4.5781193
10,/data/Data/3d_meshes/CGPS-1_1271_SERIES0007_labels.stl,648,/data/Data/bjorn/vq_samples/meshes/0648.stl,4.782113
11,/data/Data/3d_meshes/CGPS-1_0891_SERIES0006_labels.stl,68,/data/Data/bjorn/vq_samples/meshes/0068.stl,6.361758
12,/data/Data/3d_meshes/CGPS-1_5535_SERIES0011_labels.stl,901,/data/Data/bjorn/vq_samples/meshes/0901.stl,3.8628047
13,/data/Data/3d_meshes/CGPS-1_9853_SERIES0015_labels.stl,948,/data/Data/bjorn/vq_samples/meshes/0948.stl,4.7043233
14,/data/Data/3d_meshes/CGPS-1_0960_SERIES0006_labels.stl,460,/data/Data/bjorn/vq_samples/meshes/0460.stl,3.638632
15,/data/Data/3d_meshes/CGPS-1_10292_SERIES0015_labels.stl,869,/data/Data/bjorn/vq_samples/meshes/0869.stl,4.205638
16,/data/Data/3d_meshes/CGPS-1_0603_SERIES0007_labels.stl,639,/data/Data/bjorn/vq_samples/meshes/0639.stl,5.228737
17,/data/Data/3d_meshes/CGPS-1_1490_SERIES0004_labels.stl,158,/data/Data/bjorn/vq_samples/meshes/0158.stl,4.127426
18,/data/Data/3d_meshes/CGPS-1_4689_SERIES0010_labels.stl,43,/data/Data/bjorn/vq_samples/meshes/0043.stl,4.132709
19,/data/Data/3d_meshes/CGPS-1_4645_SERIES0010_labels.stl,297,/data/Data/bjorn/vq_samples/meshes/0297.stl,4.3714256
20,/data/Data/3d_meshes/CGPS-1_13016_SERIES0020_labels.stl,48,/data/Data/bjorn/vq_samples/meshes/0048.stl,3.247343
21,/data/Data/3d_meshes/CGPS-1_7113_SERIES0008_labels.stl,612,/data/Data/bjorn/vq_samples/meshes/0612.stl,5.2202835
22,/data/Data/3d_meshes/CGPS-1_2281_SERIES0000_labels.stl,394,/data/Data/bjorn/vq_samples/meshes/0394.stl,5.790794
23,/data/Data/3d_meshes/CGPS-1_4434_SERIES0010_labels.stl,901,/data/Data/bjorn/vq_samples/meshes/0901.stl,4.7038293
24,/data/Data/3d_meshes/CGPS-1_9974_SERIES0005_labels.stl,297,/data/Data/bjorn/vq_samples/meshes/0297.stl,4.943844
25,/data/Data/3d_meshes/CGPS-1_5777_SERIES0009_labels.stl,125,/data/Data/bjorn/vq_samples/meshes/0125.stl,4.6127806
26,/data/Data/3d_meshes/CGPS-1_11249_SERIES0016_labels.stl,360,/data/Data/bjorn/vq_samples/meshes/0360.stl,4.8151035
27,/data/Data/3d_meshes/CGPS-1_10639_SERIES0016_labels.stl,158,/data/Data/bjorn/vq_samples/meshes/0158.stl,4.2142982
28,/data/Data/3d_meshes/CGPS-1_1139_SERIES0005_labels.stl,647,/data/Data/bjorn/vq_samples/meshes/0647.stl,3.6692107
29,/data/Data/3d_meshes/CGPS-1_7068_SERIES0016_labels.stl,58,/data/Data/bjorn/vq_samples/meshes/0058.stl,4.872261
30,/data/Data/3d_meshes/CGPS-1_11202_SERIES0023_labels.stl,155,/data/Data/bjorn/vq_samples/meshes/0155.stl,5.5600586
31,/data/Data/3d_meshes/CGPS-1_3327_SERIES0008_labels.stl,481,/data/Data/bjorn/vq_samples/meshes/0481.stl,4.3147173
32,/data/Data/3d_meshes/CGPS-1_8745_SERIES0017_labels.stl,289,/data/Data/bjorn/vq_samples/meshes/0289.stl,3.838613
33,/data/Data/3d_meshes/CGPS-1_7494_SERIES0016_labels.stl,251,/data/Data/bjorn/vq_samples/meshes/0251.stl,3.8084633
34,/data/Data/3d_meshes/CGPS-1_7493_SERIES0016_labels.stl,461,/data/Data/bjorn/vq_samples/meshes/0461.stl,4.090575
35,/data/Data/3d_meshes/CGPS-1_5209_SERIES0009_labels.stl,851,/data/Data/bjorn/vq_samples/meshes/0851.stl,3.8046904
36,/data/Data/3d_meshes/CGPS-1_8557_SERIES0016_labels.stl,648,/data/Data/bjorn/vq_samples/meshes/0648.stl,4.0789723
37,/data/Data/3d_meshes/CGPS-1_9336_SERIES0016_labels.stl,754,/data/Data/bjorn/vq_samples/meshes/0754.stl,3.6234486
38,/data/Data/3d_meshes/CGPS-1_5760_SERIES0009_labels.stl,247,/data/Data/bjorn/vq_samples/meshes/0247.stl,4.418681
39,/data/Data/3d_meshes/CGPS-1_1665_SERIES0005_labels.stl,880,/data/Data/bjorn/vq_samples/meshes/0880.stl,5.2761235
40,/data/Data/3d_meshes/CGPS-1_7976_SERIES0016_labels.stl,701,/data/Data/bjorn/vq_samples/meshes/0701.stl,7.273534
41,/data/Data/3d_meshes/CGPS-1_12154_SERIES0020_labels.stl,648,/data/Data/bjorn/vq_samples/meshes/0648.stl,3.8544114
42,/data/Data/3d_meshes/CGPS-1_5808_SERIES0008_labels.stl,624,/data/Data/bjorn/vq_samples/meshes/0624.stl,5.575375
43,/data/Data/3d_meshes/CGPS-1_11489_SERIES0019_labels.stl,470,/data/Data/bjorn/vq_samples/meshes/0470.stl,4.6495237
44,/data/Data/3d_meshes/CGPS-1_10124_SERIES0016_labels.stl,799,/data/Data/bjorn/vq_samples/meshes/0799.stl,3.8988638
45,/data/Data/3d_meshes/CGPS-1_9109_SERIES0016_labels.stl,156,/data/Data/bjorn/vq_samples/meshes/0156.stl,4.778304
46,/data/Data/3d_meshes/CGPS-1_10921_SERIES0021_labels.stl,532,/data/Data/bjorn/vq_samples/meshes/0532.stl,6.3232636
47,/data/Data/3d_meshes/CGPS-1_9558_SERIES0016_labels.stl,618,/data/Data/bjorn/vq_samples/meshes/0618.stl,4.406839
48,/data/Data/3d_meshes/CGPS-1_7966_SERIES0016_labels.stl,37,/data/Data/bjorn/vq_samples/meshes/0037.stl,6.7811627
49,/data/Data/3d_meshes/CGPS-1_7500_SERIES0016_labels.stl,401,/data/Data/bjorn/vq_samples/meshes/0401.stl,4.572947
50,/data/Data/3d_meshes/CGPS-1_13150_SERIES0011_labels.stl,621,/data/Data/bjorn/vq_samples/meshes/0621.stl,5.257737
51,/data/Data/3d_meshes/CGPS-1_9866_SERIES0028_labels.stl,597,/data/Data/bjorn/vq_samples/meshes/0597.stl,3.5169845
52,/data/Data/3d_meshes/CGPS-1_6107_SERIES0007_labels.stl,247,/data/Data/bjorn/vq_samples/meshes/0247.stl,4.049343
53,/data/Data/3d_meshes/CGPS-1_1354_SERIES0004_labels.stl,642,/data/Data/bjorn/vq_samples/meshes/0642.stl,4.868171
54,/data/Data/3d_meshes/CGPS-1_9474_SERIES0016_labels.stl,780,/data/Data/bjorn/vq_samples/meshes/0780.stl,3.85996
55,/data/Data/3d_meshes/CGPS-1_1229_SERIES0005_labels.stl,289,/data/Data/bjorn/vq_samples/meshes/0289.stl,3.9169755
56,/data/Data/3d_meshes/CGPS-1_4540_SERIES0010_labels.stl,173,/data/Data/bjorn/vq_samples/meshes/0173.stl,4.8496323
57,/data/Data/3d_meshes/CGPS-1_2028_SERIES0009_labels.stl,994,/data/Data/bjorn/vq_samples/meshes/0994.stl,4.6069865
58,/data/Data/3d_meshes/CGPS-1_9024_SERIES0016_labels.stl,247,/data/Data/bjorn/vq_samples/meshes/0247.stl,3.886015
59,/data/Data/3d_meshes/CGPS-1_11784_SERIES0020_labels.stl,366,/data/Data/bjorn/vq_samples/meshes/0366.stl,4.404776
60,/data/Data/3d_meshes/CGPS-1_1152_SERIES0006_labels.stl,887,/data/Data/bjorn/vq_samples/meshes/0887.stl,4.6832075
61,/data/Data/3d_meshes/CGPS-1_1092_SERIES0006_labels.stl,117,/data/Data/bjorn/vq_samples/meshes/0117.stl,4.6062512
62,/data/Data/3d_meshes/CGPS-1_10089_SERIES0022_labels.stl,327,/data/Data/bjorn/vq_samples/meshes/0327.stl,5.3879085
63,/data/Data/3d_meshes/CGPS-1_0415_SERIES0006_labels.stl,451,/data/Data/bjorn/vq_samples/meshes/0451.stl,4.4805007
64,/data/Data/3d_meshes/CGPS-1_1331_SERIES0004_labels.stl,546,/data/Data/bjorn/vq_samples/meshes/0546.stl,3.7553852
