,tortuosity,centerline_length,max_geodesic_distance,volume,angle_ostium_laa,cl_cut_25_elongation,cl_cut_25_cutarea,cl_cut_50_elongation,cl_cut_50_cutarea,cl_cut_75_elongation,cl_cut_75_cutarea,radii_95,normalized_shape_index,elongation,flatness,surface_area,ostium_major_axis_length,ostium_minor_axis_length
tortuosity,1.0000659000297265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centerline_length,0.549217796964916,0.8357581084855064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_geodesic_distance,0.22098691295310122,0.7733306218127777,0.5943537146114155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume,-0.007942740894446923,0.5343777657706743,0.5335907640637488,0.6555837225138815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angle_ostium_laa,0.21191543563616688,0.07841293467810975,-0.17002732220861835,0.30367259521289136,0.9099168801796137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cl_cut_25_elongation,0.007897643048950461,0.009401423156478083,-0.058475274289037656,0.004817809582896563,-0.09179324686523518,0.9940384679260426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cl_cut_25_cutarea,-0.18869338727463147,0.13890527768168628,0.45917107114664696,0.6217113704475462,-0.06815912224666486,-0.19212548862883078,0.5534536690502996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cl_cut_50_elongation,0.20510445802882202,-0.06552335338165284,-0.05823168975028161,-0.09813581964981177,0.007722375380437805,0.1427288833644471,0.018595887689528776,0.9591517663040298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cl_cut_50_cutarea,-0.2575326627188426,-0.002450311244865331,0.43445279602603104,0.5283270075323526,0.027301262961525487,-0.05361618278102577,-0.043015366384179375,-0.17113900979362984,0.6566316568011888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cl_cut_75_elongation,0.2942175574226679,0.03207644639218503,-0.07413303094014408,-0.14580983467028333,-0.04186704961990874,0.045024818810610504,0.028755447912770377,0.27276294796648,0.08703546158556653,0.8939804043915964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cl_cut_75_cutarea,-0.29277301263573924,-0.1349837694765532,0.3882976837877179,0.37946384879526074,0.08541340782266653,-0.036252301868643,-0.11065926284738074,0.021498772544188027,0.05791994610283992,-0.3236312850136475,0.6870356377782108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radii_95,-0.10348640843863319,0.2985607648825665,0.44579082232307315,0.556877174084728,-0.11721389184211506,0.24050297853877972,0.25336628422911095,0.06324570300525277,0.06258455398980152,0.03263855383416188,0.03405308006489114,0.49550500213773174,0.0,0.0,0.0,0.0,0.0,0.0
normalized_shape_index,0.14625525984342946,0.2977096051502363,0.03881827859829966,-0.10776192735725483,0.12636012565140825,-0.23793120173680574,-0.17263183874463245,-0.20962323459795743,-0.0991741484293265,-0.09306049155883563,-0.05761329276860282,-0.3400513642235543,0.7702070654470685,0.0,0.0,0.0,0.0,0.0
elongation,-0.013376041370221758,-0.4430830477861846,0.16701410022140045,0.32105164737995556,-0.24012506537244327,-0.2180911611712827,0.029875734235406032,-0.07776917967365563,0.019767435995555707,0.07156106780248186,-0.038483836760701245,-0.1153515197774875,0.1444465836093684,0.7206486592282139,0.0,0.0,0.0,0.0
flatness,0.07096623662367271,-0.486922131031847,0.051065127662688385,0.1887881353405275,-0.2744294317865989,0.2125743905950723,0.21935786815966987,0.21381120585937063,0.1383054485069009,0.11006733854163872,-0.0216823225529061,0.005895480150619918,-0.0077231467105904035,0.30134501736246155,0.6187121912814431,0.0,0.0,0.0
surface_area,0.02663506496201596,0.5821671782507475,0.5165655092325153,0.5845187984595599,0.032817671089816834,-0.05339735802623594,-0.029872102378712705,-0.05536898610283358,-0.017413401901592657,-0.026222917104194495,-0.011816335354743976,-0.06414843130315896,0.1769050842801065,0.012499768250865457,-0.0008930915582235818,0.08612370794619703,0.0,0.0
ostium_major_axis_length,-0.040914352678073064,0.3634630062216504,0.4140692547310482,0.48077767573746216,-0.12014757171292834,-0.0020213671700901165,0.10132629211920431,-0.025690527066178512,-0.052319404459688384,-0.001217189228782899,-0.03507253775091484,0.011584181994532244,0.09560287243151878,0.033668599753954004,-0.07586371989230264,0.10807202927674661,0.6376315294441751,0.0
ostium_minor_axis_length,-0.010053990655572642,0.2544093010162073,0.34363180110812347,0.42813533989783303,0.0443995454798316,0.11440657586363966,0.08520419687310529,-0.0739191855567018,-0.07713956809108952,-0.02058576722922062,-0.05156888004236747,0.11905868482274917,0.082429267851812,-0.04239125182933374,-0.14470934059932267,0.05372746512731667,0.11294620139430517,0.7333181251182608
